"","MMSI","IMO","VESSEL_NAME","VESSEL_TYPE","FLAG","LENGTH.METERS.","WIDTH.METERS.","STATUS","SPEED.KNOTSx10.","LON","LAT","COURSE","HEADING","TIMESTAMP"
"1",215813000,8712178,"ROYAL CLIPPER","Passenger Ship","Malta",133.74,16.28,0,96,-61.65401,15.687,336,342,"1/1/2019 0:00"
"2",309416000,9417086,"SEABOURN ODYSSEY","Passenger Ship","Bahamas",198.19,26,0,71,-61.64967,15.27031,263,261,"1/1/2019 0:00"
"3",248785000,8915433,"STAR FLYER","Passenger Ship","Malta",111.57,15.14,8,25,-61.49387,15.45445,174,166,"1/1/2019 0:02"
"4",215813000,8712178,"ROYAL CLIPPER","Passenger Ship","Malta",133.74,16.28,0,94,-61.66511,15.71227,336,342,"1/1/2019 0:10"
"5",309416000,9417086,"SEABOURN ODYSSEY","Passenger Ship","Bahamas",198.19,26,0,71,-61.67068,15.2682,264,262,"1/1/2019 0:11"
"6",248785000,8915433,"STAR FLYER","Passenger Ship","Malta",111.57,15.14,8,19,-61.49313,15.44882,173,164,"1/1/2019 0:12"
"7",215813000,8712178,"ROYAL CLIPPER","Passenger Ship","Malta",133.74,16.28,0,98,-61.67676,15.7374,336,342,"1/1/2019 0:20"
"8",309416000,9417086,"SEABOURN ODYSSEY","Passenger Ship","Bahamas",198.19,26,0,70,-61.69184,15.26608,263,263,"1/1/2019 0:21"
"9",248785000,8915433,"STAR FLYER","Passenger Ship","Malta",111.57,15.14,8,16,-61.49263,15.44378,174,163,"1/1/2019 0:22"
"10",248785000,8915433,"STAR FLYER","Passenger Ship","Malta",111.57,15.14,8,19,-61.49237,15.44008,174,163,"1/1/2019 0:30"
"11",309416000,9417086,"SEABOURN ODYSSEY","Passenger Ship","Bahamas",198.19,26,0,70,-61.71005,15.26422,263,262,"1/1/2019 0:30"
"12",309416000,9417086,"SEABOURN ODYSSEY","Passenger Ship","Bahamas",198.19,26,0,71,-61.73131,15.26208,263,262,"1/1/2019 0:41"
"13",248785000,8915433,"STAR FLYER","Passenger Ship","Malta",111.57,15.14,8,22,-61.49127,15.43289,164,157,"1/1/2019 0:42"
"14",248785000,8915433,"STAR FLYER","Passenger Ship","Malta",111.57,15.14,8,21,-61.49037,15.42799,173,160,"1/1/2019 0:51"
"15",309416000,9417086,"SEABOURN ODYSSEY","Passenger Ship","Bahamas",198.19,26,0,72,-61.75157,15.26011,265,262,"1/1/2019 0:51"
"16",247187700,9334856,"AIDADIVA","Passenger Ship","Italy",251.89,37.6,0,176,-61.49862,15.02419,350,354,"1/1/2019 0:56"
"17",248785000,8915433,"STAR FLYER","Passenger Ship","Malta",111.57,15.14,8,23,-61.48901,15.42232,165,151,"1/1/2019 1:00"
"18",309416000,9417086,"SEABOURN ODYSSEY","Passenger Ship","Bahamas",198.19,26,0,72,-61.77268,15.25816,268,265,"1/1/2019 1:01"
"19",247187700,9334856,"AIDADIVA","Passenger Ship","Italy",251.89,37.6,0,176,-61.50299,15.04823,350,354,"1/1/2019 1:01"
"20",247187700,9334856,"AIDADIVA","Passenger Ship","Italy",251.89,37.6,0,174,-61.50503,15.08894,359,4,"1/1/2019 1:10"
"21",248785000,8915433,"STAR FLYER","Passenger Ship","Malta",111.57,15.14,8,27,-61.48655,15.415,158,143,"1/1/2019 1:11"
"22",309416000,9417086,"SEABOURN ODYSSEY","Passenger Ship","Bahamas",198.19,26,0,72,-61.79302,15.26034,284,284,"1/1/2019 1:11"
"23",248785000,8915433,"STAR FLYER","Passenger Ship","Malta",111.57,15.14,8,37,-61.48339,15.40634,162,145,"1/1/2019 1:21"
"24",309416000,9417086,"SEABOURN ODYSSEY","Passenger Ship","Bahamas",198.19,26,0,73,-61.81389,15.26989,304,304,"1/1/2019 1:22"
"25",247187700,9334856,"AIDADIVA","Passenger Ship","Italy",251.89,37.6,0,173,-61.50495,15.14962,0,2,"1/1/2019 1:22"
"26",309416000,9417086,"SEABOURN ODYSSEY","Passenger Ship","Bahamas",198.19,26,0,71,-61.82598,15.28035,318,319,"1/1/2019 1:30"
"27",247187700,9334856,"AIDADIVA","Passenger Ship","Italy",251.89,37.6,0,174,-61.50485,15.18545,359,1,"1/1/2019 1:30"
"28",248785000,8915433,"STAR FLYER","Passenger Ship","Malta",111.57,15.14,8,41,-61.47861,15.39529,153,142,"1/1/2019 1:32"
"29",309416000,9417086,"SEABOURN ODYSSEY","Passenger Ship","Bahamas",198.19,26,0,65,-61.83728,15.29727,334,338,"1/1/2019 1:41"
"30",248785000,8915433,"STAR FLYER","Passenger Ship","Malta",111.57,15.14,8,41,-61.47427,15.38595,154,143,"1/1/2019 1:41"
"31",247187700,9334856,"AIDADIVA","Passenger Ship","Italy",251.89,37.6,0,141,-61.50485,15.24064,0,1,"1/1/2019 1:42"
"32",309416000,9417086,"SEABOURN ODYSSEY","Passenger Ship","Bahamas",198.19,26,0,60,-61.84469,15.31293,334,336,"1/1/2019 1:51"
"33",247187700,9334856,"AIDADIVA","Passenger Ship","Italy",251.89,37.6,0,133,-61.51139,15.27809,341,341,"1/1/2019 1:52"
"34",248785000,8915433,"STAR FLYER","Passenger Ship","Malta",111.57,15.14,8,47,-61.46847,15.37397,155,148,"1/1/2019 1:52"
"35",248785000,8915433,"STAR FLYER","Passenger Ship","Malta",111.57,15.14,8,45,-61.46372,15.36319,156,150,"1/1/2019 2:01"
"36",309416000,9417086,"SEABOURN ODYSSEY","Passenger Ship","Bahamas",198.19,26,0,73,-61.85361,15.33141,335,337,"1/1/2019 2:01"
"37",247187700,9334856,"AIDADIVA","Passenger Ship","Italy",251.89,37.6,0,135,-61.52456,15.31335,340,341,"1/1/2019 2:02"
